id,status,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
1,1,engineering,,0.93286764,4,,low,0.829896196,5
2,0,support,,,3,,low,0.834543795,2
3,0,sales,,0.788829842,3,,medium,0.834987611,3
4,0,sales,,0.575687931,4,,low,0.424764288,2
5,0,sales,,0.845217472,3,,low,0.779043096,3
6,0,sales,,0.589097371,4,,medium,0.660019905,4
7,0,sales,1,0.62539883,3,,low,0.835570551,3
8,0,engineering,,0.644585844,4,,low,0.796683395,3
9,0,engineering,1,0.524113534,3,,medium,0.715005032,7
10,0,support,,0.90936433,5,,medium,0.994037398,2
11,1,sales,,,2,,medium,0.403551808,3
12,0,sales,1,0.925479635,6,,low,0.481408602,5
13,0,support,,0.94672381,5,,low,0.925337129,4
14,1,engineering,,0.770247875,6,,medium,0.090342793,4
15,0,sales,,0.579966137,5,,medium,0.627725955,6
16,1,support,,0.837502513,5,,medium,0.849667273,5
17,0,engineering,,0.452832173,4,,medium,0.658608148,3
18,1,IT,,0.919196292,5,,low,0.893364991,5
19,0,product,,0.570038733,4,,low,0.382260201,2
20,1,marketing,,,2,,low,0.422224874,3
21,0,product,,0.763606786,2,,low,0.787468037,3
22,0,marketing,,,3,,low,0.441057742,3
23,0,IT,,,3,,low,0.871386304,3
24,0,support,,0.937508766,4,,medium,0.668369478,3
25,0,temp,,,2,,medium,,
26,0,sales,1,0.79806866,3,,low,0.537828341,3
27,0,procurement,1,0.71603037,6,,low,0.175453989,6
28,0,sales,,0.550433959,2,,medium,0.544376726,3
29,0,temp,,,1,,low,,
30,0,sales,,0.762948071,4,,medium,0.617610995,3
31,0,engineering,,0.943844635,3,,low,0.936081051,4
32,0,finance,,0.862307682,3,,medium,1,4
33,0,engineering,,0.474348552,2,,medium,0.615676167,3
34,0,sales,,0.621111081,3,,medium,0.428014178,3
35,0,IT,1,0.861565035,4,,medium,0.627199943,2
36,0,sales,,,5,,low,0.834380141,3
37,0,IT,,0.723354974,5,,medium,0.213991819,3
38,0,sales,,0.971212667,3,,low,0.818819904,4
39,0,engineering,,0.475292597,6,,low,0.150336702,5
40,0,,,1,5,,low,0.297124012,5
41,1,marketing,,0.49501302,2,,low,0.438559832,3
42,0,support,1,0.821486565,3,,low,0.772891198,10
43,0,product,,0.856088543,4,,medium,0.683456025,3
44,1,engineering,,0.863262837,7,,medium,0.124350225,4
